Port_IDs,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Rank
3826087012661391104,12.17851745780603,532.65697373,0.6751014185094156,99.9999876605884,0.5833333333333334,63.0,108.0,1.0
3768170840939476993,8.779089104108492,243.66889897,0.42427745640312486,99.99530389404612,0.42857142857142855,6.0,14.0,2.0
3977234346014419201,4.102463607193359,2427.2928308600003,0.304735869302475,86.15342829550943,0.39759036144578314,33.0,83.0,3.0
4029507714735307777,3.422200917287123,1537.89995998,0.19585236338189518,76.4425622022234,0.03773584905660377,2.0,53.0,4.0
4023697881318718465,3.307649091012277,3151.95061998,0.27587012844864434,76.82458386683739,0.08571428571428572,6.0,70.0,5.0
4004713168329653760,3.210949034255438,1667.19861,0.27741111207010233,9.128557060876782,0.07407407407407407,2.0,27.0,6.0
4030708912786799105,3.201021189641979,1612.84376999,0.18414108868407542,14.747935826005229,0.03333333333333333,2.0,60.0,7.0
4023697433751327232,3.186034199387988,2408.2239999800004,0.30015934309004794,14.426251600296466,0.09523809523809523,4.0,42.0,8.0
4039129759104249600,3.162479424560003,1264.28919972,0.5220426060771433,92.60724213056871,0.44360902255639095,59.0,133.0,9.0
4030392204221219329,3.064754308455062,1347.75800996,0.20072959883358907,99.55185807656395,0.09411764705882353,8.0,85.0,10.0
4031408429897920512,3.052549061581026,1351.26659997,0.15783060458517148,27.041364491001872,0.04878048780487805,4.0,82.0,11.0
4029506971304830209,3.0493127697004287,2413.6540000200002,0.24490724451952645,14.252842447211691,0.057692307692307696,3.0,52.0,12.0
3983074113875692800,2.718941629745096,2424.8295199599997,0.3601986096820708,14.328619697159306,0.32558139534883723,14.0,43.0,13.0
3944658614777849089,2.0835728712731334,2074.4499799600003,0.4074903672652918,99.9850239867801,0.4444444444444444,20.0,45.0,14.0
4035430878731345664,1.9099021490834953,2493.75041995,0.4696392626687303,99.99660847810199,0.48314606741573035,43.0,89.0,15.0
3936410995029308417,1.7910538387345118,10681.514000000001,0.2989837004791926,16.05839416058394,0.3,6.0,20.0,16.0
4038768306117031680,1.6535171946095013,1741.9142598800001,0.1350276468629725,99.69133302175834,0.22,22.0,100.0,17.0
4041860229502600193,1.3390372802971153,2327.33599982,0.45719346633802294,7.5379930539212685,0.3917525773195876,38.0,97.0,18.0
4029422834086627072,1.2978312128944094,2799.9025498399997,0.5116182899882395,99.99635912486059,0.37254901960784315,38.0,102.0,19.0
3956048468100538880,1.1145612443640718,1373.56489,0.524861880311556,99.98937725970707,0.7142857142857143,20.0,28.0,20.0
